,MI Scores
PC3,0.04331767732676539
PC10,0.03399261589180469
PC249,0.027968658442084404
PC4,0.025389863462585538
PC129,0.025357408256246217
PC1,0.02390750449786161
PC216,0.02387648071992743
PC177,0.02355877230128911
PC214,0.023484955171495514
PC133,0.021965964084687428
PC220,0.021924202977338325
PC254,0.021714388564788578
PC239,0.020974804070485575
PC253,0.02096919996819402
PC200,0.02086399237692227
PC190,0.020581155077806557
PC240,0.019979700983599358
PC219,0.01991416782099442
PC176,0.019852707100522338
PC206,0.019730697144202836
PC197,0.019415525747463747
PC262,0.018963690274540923
PC260,0.01879686274373782
PC82,0.01872771491137115
PC191,0.018724879628967628
PC251,0.01863855126565106
PC282,0.01843092220426179
PC61,0.01832683996725848
PC244,0.018110926661865534
PC229,0.017818223839952907
PC241,0.017655895102759445
PC164,0.017569297951245844
PC217,0.01711720741755407
PC225,0.016870013539227457
PC174,0.01686515462011151
PC198,0.016798712931283433
PC250,0.01675716053987486
PC207,0.016736129338299932
PC124,0.016670718875746005
PC223,0.016549629489940543
PC245,0.016542416932137982
PC148,0.016479743465684038
PC146,0.016472968800153254
PC259,0.016373601947156757
PC231,0.01625825322319585
PC256,0.01603579723288462
PC232,0.016027375793944643
PC2,0.016010587903400264
PC246,0.0160077258928073
PC181,0.015550333068816258
PC247,0.01552213722753848
PC202,0.015444544110133407
PC167,0.015432769937664403
PC192,0.015380377601969641
PC212,0.015165166026717358
PC123,0.015076531075518318
PC70,0.01489114593993257
PC155,0.014512792507028749
PC166,0.014420287234536033
PC208,0.014364644424532003
PC205,0.014315442073540297
PC110,0.01417371893087882
PC99,0.014125132411248131
PC237,0.01411463437809779
PC221,0.014089705475511138
PC204,0.014048500576713252
PC235,0.013984672181317492
PC7,0.013984353129051996
PC175,0.01358037187766925
PC234,0.013510403474016996
PC157,0.01349400122053801
PC215,0.013470822373559344
PC265,0.01340054936229329
PC108,0.013336977908116054
PC258,0.01332470257226781
PC122,0.013289979307753441
PC126,0.013264300102921567
